trustname,dt,length_of_stay_type,n
NATIONAL,2020-04-01,Forecast,3191
NATIONAL,2020-04-02,Forecast,3455
NATIONAL,2020-04-03,Forecast,3730
NATIONAL,2020-04-04,Forecast,4015
NATIONAL,2020-04-05,Forecast,4310
NATIONAL,2020-04-06,Forecast,4616
NATIONAL,2020-04-07,Forecast,4932
NATIONAL,2020-03-10,New Admission,29
NATIONAL,2020-03-11,New Admission,47
NATIONAL,2020-03-11,Admitted 1-7 Days Ago,29
NATIONAL,2020-03-12,New Admission,48
NATIONAL,2020-03-12,Admitted 1-7 Days Ago,76
NATIONAL,2020-03-13,New Admission,37
NATIONAL,2020-03-13,Admitted 1-7 Days Ago,122
NATIONAL,2020-03-14,New Admission,61
NATIONAL,2020-03-14,Admitted 1-7 Days Ago,158
NATIONAL,2020-03-15,New Admission,73
NATIONAL,2020-03-15,Admitted 1-7 Days Ago,216
NATIONAL,2020-03-16,New Admission,83
NATIONAL,2020-03-16,Admitted 1-7 Days Ago,284
NATIONAL,2020-03-17,New Admission,109
NATIONAL,2020-03-17,Admitted 1-7 Days Ago,357
NATIONAL,2020-03-18,New Admission,106
NATIONAL,2020-03-18,Admitted 1-7 Days Ago,428
NATIONAL,2020-03-18,Admitted 8-14 Days Ago,26
NATIONAL,2020-03-19,New Admission,147
NATIONAL,2020-03-19,Admitted 1-7 Days Ago,480
NATIONAL,2020-03-19,Admitted 8-14 Days Ago,67
NATIONAL,2020-03-20,New Admission,148
NATIONAL,2020-03-20,Admitted 1-7 Days Ago,573
NATIONAL,2020-03-20,Admitted 8-14 Days Ago,107
NATIONAL,2020-03-21,New Admission,178
NATIONAL,2020-03-21,Admitted 1-7 Days Ago,670
NATIONAL,2020-03-21,Admitted 8-14 Days Ago,141
NATIONAL,2020-03-22,New Admission,180
NATIONAL,2020-03-22,Admitted 1-7 Days Ago,787
NATIONAL,2020-03-22,Admitted 8-14 Days Ago,186
NATIONAL,2020-03-23,New Admission,193
NATIONAL,2020-03-23,Admitted 1-7 Days Ago,883
NATIONAL,2020-03-23,Admitted 8-14 Days Ago,243
NATIONAL,2020-03-24,New Admission,183
NATIONAL,2020-03-24,Admitted 1-7 Days Ago,971
NATIONAL,2020-03-24,Admitted 8-14 Days Ago,305
NATIONAL,2020-03-25,New Admission,229
NATIONAL,2020-03-25,Admitted 1-7 Days Ago,1024
NATIONAL,2020-03-25,Admitted 8-14 Days Ago,364
NATIONAL,2020-03-25,Admitted >14 Days Ago,23
NATIONAL,2020-03-26,New Admission,287
NATIONAL,2020-03-26,Admitted 1-7 Days Ago,1119
NATIONAL,2020-03-26,Admitted 8-14 Days Ago,410
NATIONAL,2020-03-26,Admitted >14 Days Ago,60
NATIONAL,2020-03-27,New Admission,254
NATIONAL,2020-03-27,Admitted 1-7 Days Ago,1236
NATIONAL,2020-03-27,Admitted 8-14 Days Ago,481
NATIONAL,2020-03-27,Admitted >14 Days Ago,93
NATIONAL,2020-03-28,New Admission,281
NATIONAL,2020-03-28,Admitted 1-7 Days Ago,1333
NATIONAL,2020-03-28,Admitted 8-14 Days Ago,558
NATIONAL,2020-03-28,Admitted >14 Days Ago,123
NATIONAL,2020-03-29,New Admission,264
NATIONAL,2020-03-29,Admitted 1-7 Days Ago,1438
NATIONAL,2020-03-29,Admitted 8-14 Days Ago,642
NATIONAL,2020-03-29,Admitted >14 Days Ago,162
NATIONAL,2020-03-30,New Admission,245
NATIONAL,2020-03-30,Admitted 1-7 Days Ago,1491
NATIONAL,2020-03-30,Admitted 8-14 Days Ago,720
NATIONAL,2020-03-30,Admitted >14 Days Ago,216
NATIONAL,2020-03-31,New Admission,237
NATIONAL,2020-03-31,Admitted 1-7 Days Ago,1527
NATIONAL,2020-03-31,Admitted 8-14 Days Ago,789
NATIONAL,2020-03-31,Admitted >14 Days Ago,273
